Price,Close,High,Low,Open,Volume,Asset Class
Ticker,TPR,TPR,TPR,TPR,TPR,Equity
Date,,,,,,Equity
2010-01-04,23.94962501525879,24.332184488571617,23.817707001102807,24.332184488571617,3350600,Equity
2010-01-05,24.239849090576172,24.58942978250395,23.67260323988977,23.96941822177539,3223400,Equity
2010-01-06,24.71474838256836,24.78070613666574,24.121118531183814,24.173886747363344,2968300,Equity
2010-01-07,24.72794532775879,25.03794985268728,24.596027277343833,24.787308324639145,2719200,Equity
2010-01-08,24.582820892333984,24.635586572068416,24.32558222782922,24.549842027984205,3140000,Equity
2010-01-11,25.275405883789062,25.400726667862052,24.708159937545542,24.708159937545542,4025800,Equity
2010-01-12,25.460081100463867,25.493062494333042,24.899432630467096,25.130287290788804,5185900,Equity
2010-01-13,25.242433547973633,25.427117386368554,24.906042252464502,25.427117386368554,3243900,Equity
2010-01-14,24.73454475402832,25.282003885658924,24.523476840084186,25.20285153083387,4511700,Equity
2010-01-15,24.266223907470703,24.95879025580235,24.16728477936909,24.760914515725673,6035800,Equity
2010-01-19,24.70156478881836,24.75433050694313,24.20687391527511,24.48389959671794,5559200,Equity
2010-01-20,23.31641960144043,23.67919477797251,23.07897018970157,23.217482975580964,15018700,Equity
2010-01-21,22.491939544677734,23.336213510936,22.089593161562327,23.29663734316334,10370300,Equity
2010-01-22,22.452369689941406,22.782163595435982,22.11597849730536,22.32045162451801,7165100,Equity
2010-01-25,22.4853458404541,22.89428952897687,22.2478938548191,22.656837543341872,5638200,Equity
2010-01-26,22.828325271606445,23.092158779197355,22.366613488163857,22.47214739442558,5387200,Equity
2010-01-27,23.092164993286133,23.19769892794698,22.670029254642746,22.79535253189014,5671200,Equity
2010-01-28,22.999814987182617,23.329608730969515,22.85470745088246,23.158117091296027,6519600,Equity
2010-01-29,23.006412506103516,23.323014201437882,22.907473375506132,23.072370249084027,5884100,Equity
2010-02-01,23.263652801513672,23.323015780666317,22.973435190171184,23.085563864055743,3758600,Equity
2010-02-02,23.567066192626953,23.593450302228867,23.151525272841983,23.276848535387472,4714200,Equity
2010-02-03,23.408763885498047,23.487913689108982,23.07237281692951,23.29663269059957,4773900,Equity
2010-02-04,22.735986709594727,23.309827250708874,22.53810840509653,23.15152511033575,5001800,Equity
2010-02-05,22.637042999267578,22.683213923386507,21.740003588739807,22.162139189899545,8826100,Equity
2010-02-08,22.551301956176758,22.973440186473315,22.360023440531368,22.590878122927872,3456500,Equity
2010-02-09,22.887691497802734,22.980033364364775,22.610663381989454,22.894286267074097,3366100,Equity
2010-02-10,22.9074764251709,23.085565374279142,22.64364290199816,22.834921388557138,2964900,Equity
2010-02-11,23.336212158203125,23.54068272285747,22.709603376826088,22.887692347288652,4028700,Equity
2010-02-12,23.395578384399414,23.435152039224477,22.82833251471595,23.092166106017554,4754500,Equity
2010-02-16,23.86388397216797,23.949631080503842,23.250467189702636,23.54068488144197,3478900,Equity
2010-02-17,23.77813720703125,24.035376019624223,23.593453447452198,24.035376019624223,4488800,Equity
2010-02-18,24.035371780395508,24.08154271214689,23.613236109453094,23.633025448865883,3739300,Equity
2010-02-19,23.99579620361328,24.074946006516445,23.75834427877693,23.90345434753845,3433900,Equity
2010-02-22,24.114511489868164,24.365152840783438,23.99578558001324,24.035359205881043,4720200,Equity
2010-02-23,24.114511489868164,24.246426930928514,23.830888762562044,24.015572392947142,4749100,Equity
2010-02-24,24.523462295532227,24.543249114439178,24.03536646143981,24.16728445844802,4355700,Equity
2010-02-25,24.20026969909668,24.305803621258473,23.877073163281832,24.140906710622726,5117500,Equity
2010-02-26,24.035371780395508,24.470699505570757,24.022179726162673,24.213460738348164,3815600,Equity
2010-03-01,24.41793441772461,24.457510581416585,23.863880706672635,24.09473537122465,5397400,Equity
2010-03-02,24.31899070739746,24.490484868451645,24.25962773105204,24.470695532252062,4517700,Equity
2010-03-03,24.055158615112305,24.36516305086056,23.969411529590662,24.220055501662564,4560600,Equity
2010-03-04,24.573997497558594,24.659921270993824,24.051849020907415,24.051849020907415,4169700,Equity
2010-03-05,24.911090850830078,25.010233906682686,24.48808518564255,24.706198899993232,3299900,Equity
2010-03-08,24.818553924560547,25.06971443566651,24.66653645032362,25.01683747698645,3248700,Equity
2010-03-09,25.684404373168945,25.909126485079575,24.706202980532403,24.745858192372886,5809100,Equity
2010-03-10,25.49932289123535,25.869451400493,25.41339912102424,25.77031091607529,4228200,Equity
2010-03-11,25.43984031677246,25.47288714845115,25.149022146852055,25.320869705679865,2638200,Equity
2010-03-12,25.294450759887695,25.65136286871234,25.02346249681274,25.51256203440481,2781600,Equity
2010-03-15,25.149024963378906,25.353919376832245,24.805332328543592,25.201901917035997,3132700,Equity
2010-03-16,24.997007369995117,25.274606332587464,24.904475222901638,25.168854947150358,3204600,Equity
2010-03-17,25.26799964904785,25.347312570969297,25.056496843049104,25.056496843049104,2172200,Equity
2010-03-18,25.168853759765625,25.446450187949964,25.016833786641676,25.18207047617382,2617300,Equity
2010-03-19,25.016834259033203,25.360526882307404,24.904474518259324,25.016834259033203,3331500,Equity
2010-03-22,25.340709686279297,25.499338085706583,24.646715796574785,24.759075583463087,4034600,Equity
2010-03-23,25.34731101989746,25.691003688942004,25.19529354497025,25.459673296946722,3821900,Equity
2010-03-24,25.54560661315918,25.657966410762977,25.334103741294168,25.347320464636756,3177400,Equity
2010-03-25,25.578643798828125,25.961991663736708,25.565424559167532,25.74388051261731,2967700,Equity
2010-03-26,26.642763137817383,26.834435770038848,25.88928176061604,26.232974356889027,5551800,Equity
2010-03-29,26.424657821655273,26.78817812700552,26.087575998482755,26.78817812700552,4354900,Equity
