Price,Close,High,Low,Open,Volume,Asset Class
Ticker,TROW,TROW,TROW,TROW,TROW,Equity
Date,,,,,,Equity
2010-01-04,33.108070373535156,33.68015750241699,32.32905539611635,32.72464906630157,2330200,Equity
2010-01-05,33.47930908203125,33.491481442105474,32.63943713167256,32.89504972831035,1569500,Equity
2010-01-06,32.95592498779297,33.52192719337647,32.85246104572783,33.4245482730134,1517900,Equity
2010-01-07,32.93156814575195,33.193268093873584,32.59074901475531,32.755072399969386,1048000,Equity
2010-01-08,32.803768157958984,32.876800013790394,32.38991710551296,32.834197904418666,1344700,Equity
2010-01-11,33.0350341796875,33.345423611908956,32.8281086654201,32.86462575204636,1099000,Equity
2010-01-12,33.223697662353516,33.4671402291814,32.718555148759776,32.8037616722978,1606800,Equity
2010-01-13,33.55235290527344,33.6436421496602,32.95592101971092,33.12632946654565,1477000,Equity
2010-01-14,33.34541702270508,33.50974039759116,32.98025319352259,33.41844885988548,1191300,Equity
2010-01-15,32.62118148803711,33.406281398169924,32.572494363325,33.35150693184343,1657900,Equity
2010-01-19,33.0411262512207,33.13850284118881,32.46903675372216,32.59075807159255,1194600,Equity
2010-01-20,32.47511672973633,32.80376351694257,32.13429758134017,32.80376351694257,1474500,Equity
2010-01-21,31.598726272583008,32.51771983684513,31.48309232017014,32.49946245531694,1979600,Equity
2010-01-22,30.8197078704834,31.635237367855467,30.722331318034797,31.50134373762359,1826500,Equity
2010-01-25,31.464834213256836,31.629157608144045,30.947519306025143,31.270081075977302,1562000,Equity
2010-01-26,31.26399803161621,31.811742756525383,30.990125669161625,31.36746195593943,2311800,Equity
2010-01-27,32.03083038330078,32.140379293181404,31.099664649315525,31.446568756724115,2050800,Equity
2010-01-28,30.79537010192871,32.937657060914106,29.705970401064405,32.669872061656186,5056600,Equity
2010-01-29,30.19894027709961,31.160536044145633,29.93115526025125,31.063159463324336,2663300,Equity
2010-02-01,31.05706024169922,31.124007050714198,30.04677773149847,30.290220251254766,2245400,Equity
2010-02-02,31.14227867126465,31.397893666088297,30.85014890692404,31.136193650225483,1741200,Equity
2010-02-03,30.856225967407227,31.20313009206566,30.685815253763632,30.947515182420375,1475800,Equity
2010-02-04,29.3773193359375,30.862312461197558,29.3773193359375,30.32674254026855,2274400,Equity
2010-02-05,29.74248504638672,29.876378706300027,28.860008538272076,29.426010600362954,3487900,Equity
2010-02-08,29.292123794555664,30.24154495789332,29.27386408797077,29.918985441799478,1735900,Equity
2010-02-09,29.63294792175293,30.058971473579312,29.14606485751203,29.64512028856415,1844400,Equity
2010-02-10,29.864198684692383,30.107641218161316,29.529466942402646,29.529466942402646,1454900,Equity
2010-02-11,29.827699661254883,29.949421001660617,29.505140082574933,29.76075512959112,1402200,Equity
2010-02-12,29.78509521484375,29.870301771624163,29.35907403914811,29.632944131626367,1829300,Equity
2010-02-16,30.539758682250977,30.539758682250977,29.815520526195126,30.09547789862269,1242200,Equity
2010-02-17,30.381511688232422,30.789277590552484,30.186758586767347,30.697986058523185,1504600,Equity
2010-02-18,30.186769485473633,30.52150367600758,29.96158656591156,30.393695020694192,1739700,Equity
2010-02-19,30.39977264404297,30.6188704726565,30.119815339321324,30.205019534528763,1647700,Equity
2010-02-22,30.454557418823242,30.771031909411516,30.20502976761878,30.58236375493361,1469600,Equity
2010-02-23,30.186769485473633,30.60062055591475,30.11373762646665,30.42412709011796,2207600,Equity
2010-02-24,30.813627243041992,30.85014200438899,30.205023123093685,30.399776255745905,1379300,Equity
2010-02-25,30.624963760375977,30.6675658694823,30.16242558080411,30.497157433057005,1076400,Equity
2010-02-26,30.850139617919922,31.020550337038536,30.35108446389888,30.77710777923497,1529700,Equity
2010-03-01,31.09967613220215,31.142278243814516,30.783203966407715,30.82580607802008,1047000,Equity
2010-03-02,31.28226089477539,31.330948029881746,31.075335346880944,31.11185011780044,1466800,Equity
2010-03-03,31.428314208984375,31.68392912893656,31.209216369494026,31.30659292908526,1403300,Equity
2010-03-04,31.988237380981445,32.018667126456556,31.34311609736158,31.385718205354888,1699000,Equity
2010-03-05,32.85245132446289,32.85853866600492,32.024749319429425,32.024749319429425,1754900,Equity
2010-03-08,32.47511672973633,32.834193259097106,32.408169904012034,32.79767617552735,1316900,Equity
2010-03-09,32.55425262451172,32.74900586022283,32.176916198884946,32.45078866211673,1167200,Equity
2010-03-10,32.52381896972656,32.65162766080513,32.32298072084581,32.57859345971978,1710200,Equity
2010-03-11,32.499473571777344,32.499473571777344,32.079535079864065,32.26211592251961,1083900,Equity
2010-03-12,32.62181854248047,32.86649606551735,32.31596988860433,32.66463716734793,1320700,Equity
2010-03-15,32.69521713256836,32.74415169716418,32.26091266298164,32.49335592833131,1265200,Equity
2010-03-16,32.93989181518555,32.96436026211804,32.585108668422464,32.84202036089509,1334800,Equity
2010-03-17,33.7962646484375,33.955304867128646,33.001058888103294,33.001058888103294,1956400,Equity
2010-03-18,33.77790832519531,33.90024585568618,33.56993125654649,33.90024585568618,1055100,Equity
2010-03-19,33.527122497558594,34.00424554018227,33.30079286613599,34.00424554018227,1518200,Equity
2010-03-22,33.92472457885742,33.949193025748315,33.28244301532847,33.39254869289795,837400,Equity
2010-03-23,34.169403076171875,34.1999874668979,33.75344882866753,33.869670446802196,1330500,Equity
2010-03-24,33.643333435058594,34.10210616371849,33.34971916872892,33.97976630272143,1374500,Equity
2010-03-25,33.77790832519531,34.407955474290794,33.54546281707279,33.784024268344325,1547300,Equity
2010-03-26,33.69227600097656,34.10211192105322,33.349724799040885,33.777913218100686,1506800,Equity
2010-03-29,33.86354446411133,33.943065723178634,33.58828036229275,33.900244788727974,970700,Equity
2010-03-30,33.77180099487305,34.14493665075351,33.5515896351115,33.90025684358743,1009300,Equity
2010-03-31,33.62498474121094,33.88189636043069,33.34972062530487,33.57604786129925,1435500,Equity
2010-04-01,34.175498962402344,34.33454143433437,33.90023494054927,33.949171803740064,1222900,Equity
2010-04-05,34.169403076171875,34.23057185762392,33.9491917294414,33.9614259524197,1713800,Equity
2010-04-06,34.21222686767578,34.285629883215194,33.88802807672355,34.15105807696623,1665200,Equity
2010-04-07,33.973670959472656,34.39574128572188,33.863565251157176,34.29175385755736,1632500,Equity
