Price,Close,High,Low,Open,Volume,Asset Class
Ticker,UNP,UNP,UNP,UNP,UNP,Equity
Date,,,,,,Equity
2010-01-04,23.59783935546875,23.608665267402003,23.265831874191214,23.30552872013568,5894200,Equity
2010-01-05,23.926246643066406,24.10668590054569,23.579800845815768,23.659194559632184,6737000,Equity
2010-01-06,23.962318420410156,24.279890316658822,23.861272942207524,23.915402481756942,5363800,Equity
2010-01-07,23.749408721923828,23.97676389611906,23.49318536567283,23.843237885135892,5040400,Equity
2010-01-08,24.554166793823242,24.66603821735304,23.673622612202685,23.734971279732978,7691200,Equity
2010-01-11,24.39177131652832,24.777913872726728,24.247422149792467,24.720172003405292,6118600,Equity
2010-01-12,24.319602966308594,24.370125738271973,24.092250492473383,24.178860565369952,6647000,Equity
2010-01-13,24.348464965820312,24.496423671290433,24.016457513917224,24.431465452154303,7353000,Equity
2010-01-14,23.955114364624023,24.40621249952547,23.799936496086545,24.222166442850533,6153600,Equity
2010-01-15,23.662799835205078,23.95872005380905,23.489576967915013,23.919023204081828,8678000,Equity
2010-01-19,23.644756317138672,23.738585490949465,23.366881104636708,23.716933663640916,5984400,Equity
2010-01-20,22.998775482177734,23.11064825849498,22.345585218475236,23.10703870432647,16682800,Equity
2010-01-21,23.619497299194336,24.35208298480332,22.789478380940928,23.006004935559883,17484200,Equity
2010-01-22,23.04208755493164,23.90458679547325,22.919388831801747,23.659189349213463,11654400,Equity
2010-01-25,23.006004333496094,23.356056918390095,22.894131503106717,23.305534148743998,7202600,Equity
2010-01-26,23.16839027404785,23.276654886461056,22.699250044585384,22.897732872940036,6630400,Equity
2010-01-27,23.027650833129883,23.114262253473967,22.735338838190664,23.114262253473967,7972200,Equity
2010-01-28,22.208454132080078,23.14673729745175,22.172365470863223,23.063735441615474,11030600,Equity
2010-01-29,21.833145141601562,22.59098929833921,21.80066602764755,22.378070968338903,9834000,Equity
2010-02-01,22.486337661743164,22.518816778676186,21.945019963954238,21.952237698455143,8134000,Equity
2010-02-02,22.71007537841797,22.821948165970984,22.388893857241342,22.55128939509517,4799000,Equity
2010-02-03,22.728120803833008,23.05652008318806,22.637901206464676,22.796687202241888,4779800,Equity
2010-02-04,22.00636863708496,22.64873186445162,21.981107254658774,22.46829263189765,7019000,Equity
2010-02-05,22.410547256469727,22.42859227711257,21.92336198523239,22.060496157595605,9666000,Equity
