Price,Close,High,Low,Open,Volume,Asset Class
Ticker,WFC,WFC,WFC,WFC,WFC,Equity
Date,,,,,,Equity
2010-01-04,18.327228546142578,18.434562140711584,17.991810743235085,18.125978376205033,39335700,Equity
2010-01-05,18.83034896850586,18.944391034629497,18.27355565261209,18.293681174698715,55416000,Equity
2010-01-06,18.857189178466797,19.00477255025551,18.64252199058599,18.803522381496595,33237000,Equity
2010-01-07,19.54143714904785,19.742688562608144,18.7297268249544,18.863894433994595,61649000,Equity
2010-01-08,19.36031723022461,19.68902654453358,19.185899808026846,19.387149990822557,35508700,Equity
2010-01-11,19.320053100585938,19.568262685676892,19.17246981833947,19.514595921267578,24387800,Equity
2010-01-12,18.83705711364746,19.15234927650674,18.447972650739807,19.09868249815799,39795000,Equity
2010-01-13,19.172483444213867,19.29323406983138,18.649231159710457,18.776690295586448,36715300,Equity
2010-01-14,19.44751739501953,19.5951007171007,19.118808214349933,19.118808214349933,31540700,Equity
2010-01-15,18.83705711364746,19.387141911601358,18.702889528017128,19.33347513325261,47255900,Equity
2010-01-19,18.97123146057129,19.098689304877105,18.521771551895434,18.73643874179721,40815800,Equity
2010-01-20,18.662641525268555,19.219434882998467,18.58214198990741,18.796809123559854,75712300,Equity
2010-01-21,18.78339385986328,19.11881160736084,18.23330895869003,18.76997684287926,90151500,Equity
2010-01-22,18.286977767944336,19.058438416536937,18.226602464361523,18.763270407856208,69506900,Equity
2010-01-25,18.55531120300293,18.816936657949743,18.240018955258893,18.41443635172919,48319700,Equity
2010-01-26,18.105850219726562,19.0181869206743,18.058891938857286,18.414435218965963,66590800,Equity
2010-01-27,18.917566299438477,18.944399060738505,18.032062145222735,18.045479165631495,63074200,Equity
2010-01-28,19.08527183532715,19.299939005772277,18.595560913292278,18.971229741088514,62109300,Equity
2010-01-29,19.071849822998047,19.568267844535992,19.038307286701404,19.078558330257376,88783700,Equity
2010-02-01,19.407270431518555,19.51460400479795,19.125519481780863,19.185894776690162,45240000,Equity
2010-02-02,19.313356399536133,19.541439312933374,19.12552198198379,19.42739721647611,50306600,Equity
2010-02-03,18.9101505279541,19.340233012915082,18.80263022714963,19.19911181701978,44597600,Equity
2010-02-04,18.184391021728516,18.869834019968824,18.144071222344767,18.78247424101348,68235300,Equity
2010-02-05,18.426307678222656,18.621187726953952,17.888706217850473,18.345666818295335,68479000,Equity
2010-02-08,17.761032104492188,18.41959446283762,17.7408715614534,18.298633768091833,43425800,Equity
2010-02-09,17.949199676513672,18.238161174196716,17.72071983365919,18.07016042268276,46845300,Equity
2010-02-10,18.265029907226562,18.52039031775611,17.841667573837693,17.88198865056065,42104800,Equity
2010-02-11,18.197830200195312,18.30535051273098,17.94918867636706,18.244870176711764,35821600,Equity
2010-02-12,18.063430786132812,18.170952390039663,17.787909800370905,18.002951726441264,45333600,Equity
2010-02-16,18.406145095825195,18.406145095825195,18.103744788649934,18.27174538655047,36097500,Equity
2010-02-17,18.365825653076172,18.57414603946249,18.204545229898745,18.540546431954102,50109700,Equity
2010-02-18,18.372554779052734,18.527115099656612,18.25159408232153,18.345674054559804,30287900,Equity
2010-02-19,18.392704010009766,18.466623393414302,18.191102545538023,18.19782272252802,32174300,Equity
2010-02-22,18.822795867919922,18.91687583619742,18.399433447184308,18.466633973843994,41852200,Equity
2010-02-23,18.33894920349121,18.816070372705276,18.265028516869226,18.78247075973696,38755100,Equity
2010-02-24,18.58759117126465,18.661511864868544,18.26503024202741,18.446471245377055,35782300,Equity
2010-02-25,18.439748764038086,18.46662819724767,18.170948023227073,18.258307783337013,34185600,Equity
2010-02-26,18.372554779052734,18.480075113537474,18.097033761717654,18.473354932414242,50819700,Equity
2010-03-01,18.379274368286133,18.54055486481933,18.24487331363674,18.446474895610827,34311000,Equity
2010-03-02,18.728717803955078,18.957197567040048,18.392716418235885,18.412875681063152,45592200,Equity
2010-03-03,18.95047950744629,19.118480207754345,18.775758625316673,18.782478807138233,35902200,Equity
2010-03-04,19.10502815246582,19.19910807690657,18.957186806352826,19.051268012536415,30891500,Equity
2010-03-05,19.588876724243164,19.669517605111462,19.185674883388323,19.23943504338608,40554100,Equity
2010-03-08,19.41415786743164,19.723279780310378,19.367117882845267,19.575438363903544,31311900,Equity
2010-03-09,19.474634170532227,19.635914633519324,19.131912706030956,19.34023442558124,31292400,Equity
2010-03-10,19.87112045288086,20.045841315890943,19.55527963229157,19.575438893806606,42568300,Equity
2010-03-11,19.998798370361328,19.998798370361328,19.64935669605587,19.844238073483517,32127400,Equity
2010-03-12,19.91143226623535,20.119753951066755,19.817352332274698,20.04583327053026,36671500,Equity
2010-03-15,20.086164474487305,20.086164474487305,19.66280324931681,19.810643412667332,26911900,Equity
2010-03-16,20.348243713378906,20.375123156848428,19.985361613463887,20.11304249473882,40201400,Equity
2010-03-17,20.529682159423828,20.610323048125952,20.334802041154145,20.435602190724218,33176200,Equity
2010-03-18,20.354965209960938,20.536404989899033,20.059283622228932,20.475924636005132,33984900,Equity
2010-03-19,20.415441513061523,20.522963124534233,20.13320032708632,20.415441513061523,53781800,Equity
2010-03-22,20.43560218811035,20.556562880276346,20.193680803778363,20.22056152725678,28594000,Equity
2010-03-23,20.885835647583008,20.912716360244136,20.415433429956725,20.47591375170133,39320200,Equity
2010-03-24,20.73800277709961,21.020243949371142,20.610321911091603,20.72456241610016,36135600,Equity
2010-03-25,20.872407913208008,21.497370761334313,20.764887561029685,20.852248648264386,47424300,Equity
2010-03-26,20.979921340942383,21.349523551093522,20.832081225927894,20.973201160931275,36079700,Equity
2010-03-29,20.899276733398438,21.134477850421227,20.764875728887425,21.06727734816572,25280200,Equity
2010-03-30,20.72456169128418,21.033682293000123,20.697680970225406,20.899282532936233,26937900,Equity
2010-03-31,20.912717819213867,20.939597252007303,20.549835863429877,20.549835863429877,28384000,Equity
2010-04-01,21.080724716186523,21.235285025559197,20.919442944435545,21.10088397634785,33041400,Equity
2010-04-05,21.1747989654541,21.336079411924047,21.00679834016336,21.16135860781251,30821900,Equity
2010-04-06,21.69224739074707,21.766168101500305,21.067285926014808,21.074006107150876,39500100,Equity
2010-04-07,21.497358322143555,21.83336083045658,21.349518243880194,21.692238367047853,34514700,Equity
2010-04-08,21.658641815185547,21.779602478908714,21.20840005673994,21.36296161691018,32203600,Equity
2010-04-09,21.7056827545166,21.940885194884753,21.450322338869327,21.772884550401674,27106200,Equity
2010-04-12,21.78632164001465,21.97448409890825,21.68552279468345,21.77288384475954,25108400,Equity
2010-04-13,21.60488510131836,21.665365439218103,21.322642669957364,21.611603999535426,38042000,Equity
2010-04-14,22.364246368408203,22.458326325029844,21.73928372686554,21.813204425207275,54445900,Equity
2010-04-15,22.51880645751953,22.774168168505916,22.25672584833011,22.330646545996157,47891800,Equity
2010-04-16,21.88040542602539,22.344086293931554,21.275602064855217,22.317205574882554,89843800,Equity
2010-04-19,22.189529418945312,22.35080863108251,21.591447427253396,21.920727314067506,54879400,Equity
2010-04-20,22.6397647857666,22.774165807271345,22.17608395323582,22.303763513747878,46816100,Equity
2010-04-21,22.182802200317383,23.01608645842494,21.846800938150594,21.900562370570654,96214600,Equity
2010-04-22,22.565847396850586,22.659927345933177,21.880404471909277,21.974484420991864,49765400,Equity
2010-04-23,22.498647689819336,22.706969427465598,22.310487774194705,22.64648908837388,30999200,Equity
2010-04-26,21.98792266845703,22.47848418691276,21.90056162548965,22.418003859240898,36186000,Equity
2010-04-27,21.31591796875,22.22312156307904,21.268878000748412,21.638480129712168,52674300,Equity
